"family","description"
"PF02604","Antitoxin Phd_YefM, type II toxin-antitoxin system"
"PF02607","B12 binding domain"
"PF02608","Bmp"
"PF02609","Exonuc_VII_S"
"PF02611","CDP-diacylglycerol pyrophosphatase"
"PF02613","Nitrate_red_del"
"PF02615","Malate/L-lactate dehydrogenase"
"PF02616","ScpA_ScpB"
"PF02617","Adaptor protein ClpS, core"
"PF02618","ADC_lyase"
"PF02620","DUF177"
"PF02621","Menaquinone biosynthesis"
"PF02624","YcaO"
"PF02625","XdhC and CoxI family"
"PF02626","Allophanate hydrolase subunit 2"
"PF02627","Carboxymuconolactone decarboxylase family"
"PF02628","Cytochrome oxidase assembly protein"
"PF02629","CoA binding domain"
"PF02630","SCO1/SenC"
"PF02631","RecX"
"PF02632","BioY"
"PF02633","Creatinine amidohydrolase"
"PF02634","FdhD-NarQ"
"PF02635","DsrE/DsrF-like family"
"PF02636","Putative S-adenosyl-L-methionine-dependent methyltransferase"
"PF02637","GatB domain"
"PF02645","DegV"
"PF02646","RmuC family"
"PF02649","DUF198"
"PF02650","DUF199"
"PF02652","L-lactate permease"
"PF02653","Branched-chain amino acid transport system / permease component"
"PF02654","CobS"
"PF02655","ATP-grasp_3"
"PF02656","Domain of unknown function (DUF202)"
"PF02659","DUF204"
"PF02660","DUF205"
"PF02661","Fic/DOC family"
"PF02662","Methyl-viologen-reducing hydrogenase, delta subunit"
"PF02664","LuxS"
"PF02665","Nitrate reductase gamma subunit"
"PF02666","Phosphatidylserine decarboxylase"
"PF02667","SCFA_trans"
"PF02668","Taurine catabolism dioxygenase TauD, TfdA family"
"PF02669","KdpC"
"PF02670","DXP_reductoisom"
"PF02671","Paired amphipathic helix repeat"
"PF02673","BacA"
"PF02674","Colicin V production protein"
"PF02675","S-adenosylmethionine decarboxylase"
"PF02676","Methyltransferase TYW3"
"PF02677","DUF208"
"PF02678","Pirin"
"PF02679","(2R)-phospho-3-sulpholactate synthase, ComA"
"PF02680","Uncharacterized ArCR, COG1888"
"PF02681","Divergent PAP2 family"
"PF02682","Allophanate hydrolase subunit 1"
"PF02683","Cytochrome C biogenesis protein transmembrane region"
"PF02685","Glucokinase"
"PF02686","Glu-tRNAGln amidotransferase C subunit"
"PF02687","FtsX"
"PF02689","Helicase"
"PF02690","Na_Pi_cotrans"
"PF02694","Uncharacterised BCR, YnfA/UPF0060 family"
"PF02696","Uncharacterized ACR, YdiU/UPF0061 family"
"PF02698","DUF218"
"PF02699","Preprotein translocase subunit"
"PF02700","PurS"
"PF02702","KdpD"
"PF02704","Gibberellin regulated protein"
"PF02705","K+ potassium transporter"
"PF02706","Wzz"
"PF02709","N-terminal domain of galactosyltransferase"
"PF02711","E4 protein"
"PF02714","Domain of unknown function DUF221"
"PF02716","HMMPfam"
"PF02719","Polysacc_synt_2"
"PF02720","Domain of unknown function (DUF222)"
"PF02721","Domain of unknown function DUF223"
"PF02724","CDC45-like protein"
"PF02727","Copper amine oxidase, N2 domain"
"PF02728","Copper amine oxidase, N3 domain"
"PF02729","Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain"
"PF02731","SKIP/SNW domain"
"PF02732","ERCC4 domain"
"PF02733","Dak1 domain"
"PF02734","DAK2 domain"
"PF02735","Ku70/Ku80 beta-barrel domain"
"PF02736","Myosin_N"
"PF02737","3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
"PF02738","Molybdopterin-binding domain of aldehyde dehydrogenase"
"PF02739","5_3_exonuc_N"
"PF02742","Fe_dep_repr_C"
"PF02743","Cache domain"
"PF02744","Galactose-1-phosphate uridyl transferase, C-terminal domain"
"PF02745","MCR_alpha_N"
"PF02746","Mandelate racemase / muconate lactonizing enzyme, N-terminal domain"
"PF02747","Proliferating cell nuclear antigen, C-terminal domain"
"PF02748","Aspartate carbamoyltransferase regulatory chain, metal binding domain"
"PF02749","Quinolinate phosphoribosyl transferase, N-terminal domain"
"PF02751","Transcription initiation factor IIA, gamma subunit"
"PF02752","Arrestin (or S-antigen), C-terminal domain"
"PF02753","Pili_assembly_C"
"PF02754","HMMPfam"
"PF02755","RPEL repeat"
"PF02756","GYR"
"PF02757","YLP"
"PF02759","RUN"
"PF02765","Telomeric single stranded DNA binding POT1/CDC13"
"PF02767","DNA_pol3_beta_2"
"PF02768","DNA_pol3_beta_3"
"PF02769","AIR synthase related protein, C-terminal domain"
"PF02770","Acyl-CoA dehydrogenase, middle domain"
"PF02771","Acyl-CoA dehydrogenase, N-terminal domain"
"PF02772","S-adenosylmethionine synthetase, central domain"
"PF02773","S-adenosylmethionine synthetase, C-terminal domain"
"PF02774","Semialdehyde dehydrogenase, dimerisation domain"
"PF02775","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
"PF02776","Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
"PF02777","Iron/manganese superoxide dismutases, C-terminal domain"
"PF02778","tRNA intron endonuclease, N-terminal domain"
"PF02779","Transketolase, pyrimidine binding domain"
"PF02780","Transketolase, C-terminal domain"
"PF02781","Glucose-6-phosphate dehydrogenase, C-terminal domain"
"PF02782","FGGY family of carbohydrate kinases, C-terminal domain"
"PF02784","Pyridoxal-dependent decarboxylase, pyridoxal binding domain"
"PF02785","Biotin carboxylase C-terminal domain"
"PF02786","Carbamoyl-phosphate synthase L chain, ATP binding domain"
"PF02787","Carbamoyl-phosphate synthetase large chain, oligomerisation domain"
"PF02788","RuBisCO_large_N"
"PF02789","Peptidase M17, leucyl aminopeptidase, N-terminal"
"PF02790","COX2_TM"
"PF02791","DDT domain"
"PF02792","Mago nashi protein"
"PF02793","Hormone receptor domain"
"PF02796","HTH_7"
"PF02797","Chalcone and stilbene synthases, C-terminal domain"
"PF02798","Glutathione S-transferase, N-terminal domain"
"PF02799","Myristoyl-CoA:protein N-myristoyltransferase, C-terminal domain"
"PF02800","Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
"PF02801","Beta-ketoacyl synthase, C-terminal domain"
"PF02803","Thiolase, C-terminal domain"
"PF02804","RNase_U2"
"PF02805","Metal binding domain of Ada"
"PF02806","Alpha amylase, C-terminal all-beta domain"
"PF02807","ATP:guanido phosphotransferase, N-terminal domain"
"PF02809","Ubiquitin interaction motif"
"PF02810","SEC-C"
"PF02811","PHP domain"
"PF02812","Glu/Leu/Phe/Val dehydrogenase, dimerisation domain"
"PF02815","MIR domain"
"PF02816","Alpha_kinase"
"PF02817","e3 binding domain"
"PF02818","PPAK"
"PF02820","MBT"
"PF02822","Antistasin"
"PF02823","ATP synthase, Delta/Epsilon chain, beta-sandwich domain"
"PF02824","TGS domain"
"PF02825","WWE domain"
"PF02826","D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
"PF02828","L27"
"PF02831","gpW"
"PF02833","DHHA2 domain"
"PF02834","2_5_RNA_ligase"
"PF02836","Glycosyl hydrolases family 2, TIM barrel domain"
"PF02837","Glycosyl hydrolases family 2, sugar binding domain"
"PF02838","Glyco_hydro_20b"
"PF02839","Carbohydrate-binding family V/XII"
"PF02840","Prp18 domain"
"PF02841","Guanylate-binding protein, C-terminal domain"
"PF02842","HMMPfam"
"PF02843","Phosphoribosylglycinamide synthetase, C domain"
"PF02844","Phosphoribosylglycinamide synthetase, N domain"
"PF02845","CUE domain"
"PF02847","MA3 domain"
"PF02852","Pyridine nucleotide-disulphide oxidoreductase, dimerisation domain"
"PF02854","MIF4G domain"
"PF02861","Clp amino terminal domain"
"PF02862","DDHD domain"
"PF02863","Arg_repressor_C"
"PF02866","lactate/malate dehydrogenase, alpha/beta C-terminal domain"
"PF02867","Ribonucleotide reductase, barrel domain"
"PF02868","Thermolysin metallopeptidase, alpha-helical domain"
"PF02870","Methyltransf_1N"
"PF02872","5'-nucleotidase, C-terminal domain"
"PF02873","MurB_C"
"PF02874","ATP synthase alpha/beta family, beta-barrel domain"
"PF02875","Mur_ligase_C"
"PF02876","Stap_Strp_tox_C"
"PF02877","Poly(ADP-ribose) polymerase, regulatory domain"
"PF02878","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain I"
"PF02879","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain II"
"PF02880","Phosphoglucomutase/phosphomannomutase, alpha/beta/alpha domain III"
"PF02881","SRP54-type protein, helical bundle domain"
"PF02882","Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain"
"PF02883","Adaptin C-terminal domain"
"PF02884","Polysaccharide lyase family 8, C-terminal beta-sandwich domain"
"PF02885","Glycosyl transferase family, helical bundle domain"
"PF02887","Pyruvate kinase, alpha/beta domain"
"PF02889","Sec63 Brl domain"
"PF02891","MIZ/SP-RING zinc finger"
"PF02892","zf-BED"
"PF02893","GRAM domain"
"PF02894","Oxidoreductase family, C-terminal alpha/beta domain"
"PF02895","Signal transducing histidine kinase, homodimeric domain"
"PF02896","PEP-utilizers_C"
"PF02897","Peptidase S9A, oligopeptidase, N-terminal beta-propeller"
"PF02898","NO_synthase"
"PF02899","Phage integrase, N-terminal SAM-like domain"
"PF02900","Catalytic LigB subunit of aromatic ring-opening dioxygenase"
"PF02901","PFL"
"PF02902","Ulp1 protease family, C-terminal catalytic domain"
"PF02903","HMMPfam"
"PF02906","Iron only hydrogenase large subunit, C-terminal domain"
"PF02909","Tetracyclin repressor, C-terminal all-alpha domain"
"PF02910","Fumarate reductase flavoprotein C-term"
"PF02911","Formyl_trans_C"
"PF02912","Aminoacyl tRNA synthetase class II, N-terminal domain"
"PF02913","FAD linked oxidases, C-terminal domain"
"PF02915","Rubrerythrin"
"PF02917","Pertussis toxin, subunit 1"
"PF02919","Eukaryotic DNA topoisomerase I, DNA binding fragment"
"PF02920","Integrase_DNA"
"PF02921","Ubiquinol cytochrome reductase transmembrane region"
"PF02922","Carbohydrate-binding module 48 (Isoamylase N-terminal domain)"
"PF02924","Bacteriophage lambda head decoration protein D"
"PF02925","Bacteriophage scaffolding protein D"
"PF02926","THUMP"
"PF02927","CelD_N"
"PF02928","C5HC2 zinc finger"
"PF02929","Beta galactosidase small chain"
"PF02930","HMMPfam"
"PF02931","Neurotransmitter-gated ion-channel ligand binding domain"
"PF02932","Neurotransmitter-gated ion-channel transmembrane region"
"PF02933","Cell division protein 48 (CDC48), domain 2"
"PF02934","GatB/GatE catalytic domain"
"PF02935","Cytochrome c oxidase subunit VIIc"
"PF02936","Cytochrome c oxidase subunit IV"
"PF02938","GAD"
"PF02939","UcrQ family"
"PF02940","mRNA capping enzyme, beta chain"
"PF02942","Influenza B non-structural protein (NS1)"
"PF02944","BESS"
"PF02945","Recombination endonuclease VII"
"PF02946","GTF2I-like repeat"
"PF02950","Conotoxin"
"PF02953","Tim10/DDP family zinc finger"
"PF02954","HTH_8"
"PF02955","Prokaryotic glutathione synthetase, ATP-grasp domain"
"PF02957","TT_ORF2"
"PF02958","Ecdysteroid kinase"
"PF02960","K1 glycoprotein"
"PF02963","Restriction endonuclease EcoRI"
"PF02965","Vitamin B12 dependent methionine synthase, activation domain"
"PF02966","Mitosis protein DIM1"
"PF02969","TATA box binding protein associated factor (TAF)"
"PF02970","Tubulin binding cofactor A"
"PF02971","FTCD"
"PF02973","Sialidase, N-terminal domain"
"PF02977","Carboxypeptidase A inhibitor"
"PF02978","Signal peptide binding domain"
"PF02979","Nitrile hydratase, alpha chain"
"PF02982","Scytalone dehydratase"
"PF02983","Pro_Al_protease"
"PF02984","Cyclin, C-terminal domain"
"PF02985","HEAT"
"PF02986","Fn_bind"
"PF02987","LEA_4"
"PF02990","Endomembrane protein 70"
"PF02991","Autophagy protein Atg8 ubiquitin like"
"PF02992","Transposon, En/Spm-like"
"PF02993","Minor capsid protein VI"
"PF02994","L1 transposable element"
"PF02995","DUF229"
"PF02996","Prefoldin subunit"
"PF03002","Somatostatin"
"PF03005","DUF231"
"PF03006","Haemolysin-III related"
"PF03007","Wax ester synthase-like Acyl-CoA acyltransferase domain"
"PF03008","DUF234"
"PF03009","Glycerophosphoryl diester phosphodiesterase family"
"PF03011","PFEMP DBL domain"
"PF03012","Phosphoprotein"
"PF03015","Sterile"
"PF03016","Exostosin family"
"PF03020","LEM"
"PF03022","Major royal jelly protein"
"PF03026","Influenza C virus M1 protein"
"PF03027","DUF233"
"PF03028","Dynein heavy chain and region D6 of dynein motor"
"PF03029","Conserved hypothetical ATP binding protein"
"PF03030","Inorganic H+ pyrophosphatase"
"PF03031","NLI interacting factor-like phosphatase"
"PF03032","Brevenin/esculentin/gaegurin/rugosin family"
"PF03033","Glycosyltransferase family 28 N-terminal domain"
"PF03034","Phosphatidyl serine synthase"
"PF03036","Perilipin family"
"PF03038","UL95 family"
"PF03040","CemA family"
"PF03043","Herpesvirus UL87 family"
"PF03047","COMC family"
"PF03048","UL92 family"
"PF03050","Transposase_25"
"PF03051","Peptidase C1-like family"
"PF03052","Adeno_52K"
"PF03054","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"
"PF03055","Retinal pigment epithelial membrane protein"
"PF03057","DUF236"
"PF03059","Nicotianamine synthase protein"
"PF03060","Nitronate monooxygenase"
"PF03061","Thioesterase superfamily"
"PF03062","MBOAT, membrane-bound O-acyltransferase family"
"PF03063","Prismane"
"PF03064","HSV U79 / HCMV P34"
"PF03065","Glyco_hydro_57"
"PF03066","Nucleoplasmin"
"PF03067","Chitin binding domain"
"PF03068","Protein-arginine deiminase (PAD)"
"PF03069","Acetamidase/Formamidase family"
"PF03070","TENA/THI-4/PQQC family"
"PF03071","GNT-I family"
"PF03073","TspO/MBR family"
"PF03074","Glutamate-cysteine ligase"
"PF03079","ARD/ARD' family"
"PF03080","DUF239"
"PF03081","Exo70 exocyst complex subunit"
"PF03083","MtN3_slv"
"PF03087","DUF241"
"PF03088","Strictosidine synthase"
"PF03089","RAG2"
"PF03090","Replicase"
"PF03091","CutA1"
"PF03092","BT1 family"
"PF03094","Mlo family"
"PF03095","Phosphotyrosyl phosphate activator (PTPA) protein"
"PF03096","Ndr family"
"PF03097","BRO1-like domain"
"PF03098","Animal haem peroxidase"
"PF03099","Biotin/lipoate A/B protein ligase family"
"PF03100","CcmE"
"PF03101","FAR1 DNA-binding domain"
"PF03102","NeuB"
"PF03104","DNA polymerase family B, exonuclease domain"
"PF03105","SPX domain"
"PF03106","WRKY DNA -binding domain"
"PF03107","C1_2"
"PF03108","MuDR family transposase"
"PF03109","ABC1 family"
"PF03114","BAR domain"
"PF03116","NQR2, RnfD, RnfE family"
"PF03118","Bacterial RNA polymerase, alpha chain C terminal domain"
"PF03119","DNA_ligase_ZBD"
"PF03121","Herpesviridae UL52/UL70 DNA primase"
"PF03123","CAT_RBD"
"PF03124","EXS family"
"PF03126","Plus-3 domain"
"PF03127","GAT domain"
"PF03128","CXCXC"
"PF03129","Anticodon binding domain"
"PF03130","HEAT_PBS"
"PF03131","bZIP Maf transcription factor"
"PF03133","Tubulin-tyrosine ligase family"
"PF03134","TB2/DP1, HVA22 family"
"PF03135","CagE_TrbE_VirB"
"PF03138","DUF246"
"PF03140","DUF247"
"PF03141","Putative S-adenosyl-L-methionine-dependent methyltransferase"
"PF03142","Chitin synthase"
"PF03143","Elongation factor Tu C-terminal domain"
"PF03144","Elongation factor Tu domain 2"
"PF03145","Seven in absentia protein family"
"PF03147","Ferredoxin-fold anticodon binding domain"
"PF03149","Flotillin"
"PF03150","Di-haem cytochrome c peroxidase"
"PF03151","Triose-phosphate Transporter family"
"PF03152","Ubiquitin fusion degradation protein UFD1"
"PF03153","Transcription factor IIA, alpha/beta subunit"
"PF03154","Atrophin-1 family"
"PF03155","ALG6, ALG8 glycosyltransferase family"
"PF03157","High molecular weight glutenin subunit"
"PF03159","XRN 5'-3' exonuclease N-terminus"
"PF03160","Calx-beta"
"PF03161","LAGLIDADG_2"
"PF03162","Tyrosine phosphatase family"
"PF03164","Trafficking protein Mon1"
"PF03165","MH1"
"PF03167","Uracil DNA glycosylase superfamily"
"PF03168","Late embryogenesis abundant protein"
"PF03169","OPT oligopeptide transporter protein"
"PF03170","Bacterial cellulose synthase subunit"
"PF03171","2OG-Fe(II) oxygenase superfamily"
"PF03172","Sp100 domain"
"PF03173","Putative carbohydrate binding domain"
"PF03174","Chitobiase/beta-hexosaminidase C-terminal domain"
"PF03175","DNA_pol_B_2"
"PF03176","MMPL"
"PF03177","Non-repetitive/WGA-negative nucleoporin C-terminal"
"PF03178","CPSF A subunit region"
"PF03179","Vacuolar (H+)-ATPase G subunit"
"PF03183","Borrelia_rep"
"PF03184","DDE superfamily endonuclease"
"PF03186","CobD/Cbib protein"
"PF03188","Eukaryotic cytochrome b561"
"PF03189","DUF270"
"PF03190","Protein of unknown function, DUF255"
"PF03193","Protein of unknown function, DUF258"
"PF03194","LUC7 N_terminus"
"PF03195","Protein of unknown function DUF260"
"PF03198","Glucanosyltransferase"
"PF03199","Eukaryotic glutathione synthase"
"PF03200","Mannosyl oligosaccharide glucosidase"
"PF03203","MerC mercury resistance protein"
"PF03204","HMMPfam"
"PF03205","Molybdopterin guanine dinucleotide synthesis protein B"
"PF03208","PRA1 family protein"
"PF03209","PUCC protein"
"PF03211","Pectate lyase"
"PF03215","Rad17 cell cycle checkpoint protein"
"PF03219","TLC"
"PF03221","Tc5 transposase DNA-binding domain"
"PF03222","Trp_Tyr_perm"
"PF03223","V-ATPase subunit C"
"PF03224","V-ATPase subunit H"
"PF03226","Yippee zinc-binding/DNA-binding /Mis18, centromere assembly"
"PF03227","Gamma interferon inducible lysosomal thiol reductase (GILT)"
"PF03228","Adenoviral core protein VII"
"PF03229","Alphavirus glycoprotein J"
"PF03230","Antirestriction protein"
"PF03232","Ubiquinone biosynthesis protein COQ7"
"PF03233","Aphid transmission protein"
"PF03234","Cdc37 N terminal kinase binding"
"PF03235","Protein of unknown function DUF262"
"PF03237","Terminase-like family"
"PF03238","ESAG protein"
"PF03239","Iron permease FTR1 family"
"PF03243","Alkylmercury lyase"
"PF03245","Bacteriophage Rz lysis protein"
"PF03247","Prothymosin"
"PF03248","Rer1 family"
"PF03249","Type specific antigen"
"PF03250","Tropomodulin"
"PF03253","UT"
"PF03254","Xyloglucan fucosyltransferase"
"PF03255","ACCA"
"PF03256","Anaphase-promoting complex, subunit 10 (APC10)"
"PF03259","Roadblock/LC7 domain"
"PF03265","Deoxyribonuclease II"
"PF03266","NTPase"
"PF03269","DUF268"
"PF03271","EB1-like C-terminal motif"
"PF03272","Viral enhancin protein"
"PF03273","Baculovirus gp64 envelope glycoprotein family"
"PF03275","UDP-galactopyranose mutase"
"PF03276","Spumavirus gag protein"
"PF03277","Herpesvirus UL4 family"
"PF03279","Lip_A_acyltrans"
"PF03283","Pectinacetylesterase"
"PF03284","Phenazine biosynthesis protein A/B"
"PF03288","Poxvirus D5 protein-like"
"PF03290","Vaccinia virus I7 processing peptidase"
"PF03291","mRNA capping enzyme"
"PF03297","S25 ribosomal protein"
"PF03298","Stanniocalcin family"
"PF03299","TF_AP-2"
"PF03302","Giardia variant-specific surface protein"
"PF03303","WTF"
"PF03306","Alpha-acetolactate decarboxylase"
"PF03308","ArgK protein"
"PF03310","Caulimovirus DNA-binding protein"
"PF03311","Cornichon protein"
"PF03313","Serine dehydratase alpha chain"
"PF03314","Protein of unknown function, DUF273"
"PF03315","Serine dehydratase beta chain"
"PF03318","Clostridium epsilon toxin ETX/Bacillus mosquitocidal toxin MTX2"
"PF03319","EutN_CcmL"
"PF03320","Bacterial fructose-1,6-bisphosphatase, glpX-encoded"
"PF03321","GH3 auxin-responsive promoter"
"PF03322","HMMPfam"
"PF03323","HMMPfam"
"PF03326","Herpes_TAF50"
"PF03328","HpcH/HpaI aldolase/citrate lyase family"
"PF03330","Rare lipoprotein A (RlpA)-like double-psi beta-barrel"
"PF03331","LpxC"
"PF03332","Eukaryotic phosphomannomutase"
"PF03333","PapB"
"PF03334","PhaG_MnhG_YufB"
"PF03335","Phage_fiber"
"PF03336","Poxvirus C4/C10 protein"
"PF03338","Poxvirus J1 protein"
"PF03343","SART-1 family"
"PF03344","Daxx Family"
"PF03345","Oligosaccharyltransferase 48 kDa subunit beta"
"PF03348","Serine incorporator (Serinc)"
"PF03349","Outer membrane protein transport protein (OMPP1/FadL/TodX)"
"PF03350","Uncharacterized protein family, UPF0114"
"PF03351","DOMON domain"
"PF03352","Adenine_glyco"
"PF03354","Terminase_1"
"PF03356","Viral late protein H2"
"PF03357","Snf7"
"PF03358","NADPH-dependent FMN reductase"
"PF03359","Guanylate-kinase-associated protein (GKAP) protein"
"PF03360","Glyco_transf_43"
"PF03364","Polyketide cyclase / dehydrase and lipid transport"
"PF03366","YEATS family"
"PF03367","ZPR1 zinc-finger domain"
"PF03368","Dicer dimerisation domain"
"PF03370","Putative phosphatase regulatory subunit"
"PF03371","PRP38 family"
"PF03372","Endonuclease/Exonuclease/phosphatase family"
"PF03373","Octapeptide"
"PF03374","ANT"
"PF03377","Avirulence"
"PF03378","CAS/CSE protein, C-terminus"
"PF03379","CcmB protein"
"PF03381","LEM3 (ligand-effect modulator 3) family / CDC50 family"
"PF03382","Mycoplasma protein of unknown function, DUF285"
"PF03385","Protein of unknown function, DUF288"
"PF03388","Legume-like lectin family"
"PF03389","MobA/MobL family"
"PF03390","Na_citrate"
"PF03391","Nepovirus coat protein, central domain"
"PF03392","OS-D"
"PF03398","Regulator of Vps4 activity in the MVB pathway"
"PF03399","SAC3/GANP/Nin1/mts3/eIF-3 p25 family"
"PF03401","Bug"
"PF03403","Platelet-activating factor acetylhydrolase, isoform II"
"PF03404","Mo-co oxidoreductase dimerisation domain"
"PF03405","Fatty acid desaturase"
"PF03406","Phage tail fibre repeat"
"PF03407","Nucleotide-diphospho-sugar transferase"
"PF03412","Peptidase_C39"
"PF03413","Peptidase M4, propeptide, PepSY"
"PF03414","Glycosyltransferase family 6"
"PF03416","Peptidase family C54"
"PF03417","Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase"
"PF03422","CBM_6"
"PF03423","CBM_25"
"PF03424","CBM_17_28"
"PF03425","CBM_11"
"PF03427","CBM_19"
"PF03428","Replication protein C N-terminal domain"
"PF03430","Trans-activating transcriptional regulator"
"PF03432","Relaxase/Mobilisation nuclease domain"
"PF03435","Saccharopine dehydrogenase"
"PF03439","Early transcription elongation factor of RNA pol II, NGN section"
"PF03441","FAD binding domain of DNA photolyase"
"PF03442","Carbohydrate binding domain X2"
"PF03443","Glycosyl hydrolase family 61"
"PF03446","NAD binding domain of 6-phosphogluconate dehydrogenase"
"PF03447","Homoserine dehydrogenase, NAD binding domain"
"PF03448","MgtE_N"
"PF03449","Transcription elongation factor, N-terminal"
"PF03450","CO dehydrogenase flavoprotein C-terminal domain"
"PF03451","HELP"
"PF03452","Anp1"
"PF03453","MoeA N-terminal region (domain I and II)"
"PF03454","MoeA C-terminal region (domain IV)"
"PF03455","dDENN domain"
"PF03456","uDENN domain"
"PF03457","HA"
"PF03458","UPF0126 domain"
"PF03459","TOBE domain"
"PF03460","Nitrite/Sulfite reductase ferredoxin-like half domain"
"PF03461","TRCF"
"PF03462","PCRF domain"
"PF03463","eRF1 domain 1"
"PF03464","eRF1 domain 2"
"PF03465","eRF1 domain 3"
"PF03466","LysR_substrate"
"PF03467","Smg-4/UPF3 family"
"PF03471","CorC_HlyC"
"PF03473","MOSC domain"
"PF03474","DMA"
"PF03475","3-alpha domain"
"PF03476","MOSC N-terminal beta barrel domain"
"PF03477","ATP cone domain"
"PF03479","DUF296"
"PF03480","Bacterial extracellular solute-binding protein, family 7"
"PF03481","Putative GTP-binding controlling metal-binding"
"PF03482","sic protein"
"PF03483","B3/4 domain"
"PF03484","tRNA synthetase B5 domain"
"PF03485","Arginyl tRNA synthetase N terminal domain"
"PF03486","HI0933_like"
"PF03488","Ins_beta"
"PF03489","Saposin-like type B, region 2"
"PF03490","Variant-surface-glycoprotein phospholipase C"
"PF03492","SAM dependent carboxyl methyltransferase"
"PF03493","Calcium-activated BK potassium channel alpha subunit"
"PF03495","Binary_toxB"
"PF03496","ADP-ribosyltransferase exoenzyme"
"PF03498","Cytolethal distending toxin A/C family"
"PF03501","Plectin/S10 domain"
"PF03510","Peptidase_C24"
"PF03512","Glyco_hydro_52"
"PF03517","Regulator of volume decrease after cellular swelling"
"PF03524","CagX"
"PF03525","Meiotic_rec114"
"PF03527","RHS"
"PF03531","Structure-specific recognition protein (SSRP1)"
"PF03534","SpvB"
"PF03535","Paxillin family"
"PF03537","Glycoside-hydrolase family GH114"
"PF03538","Salmonella virulence plasmid 28.1kDa A protein"
"PF03539","Spumavirus aspartic protease (A9)"
"PF03540","Transcription initiation factor TFIID 23-30kDa subunit"
"PF03542","Tuberin"
"PF03546","Treacher Collins syndrome protein Treacle"
"PF03547","Membrane transport protein"
"PF03551","PadR"
"PF03553","Na_H_antiporter"
"PF03554","UL73 viral envelope glycoprotein"
"PF03556","Cullin binding"
"PF03557","Bunyavirus glycoprotein G1"
"PF03561","Allantoicase repeat"
"PF03564","Protein of unknown function (DUF1759)"
"PF03565","HMMPfam"
"PF03567","Sulfotransferase family"
"PF03568","Peptidase family C50"
"PF03571","Peptidase family M49"
"PF03572","Peptidase family S41"
"PF03573","OprD"
"PF03575","Peptidase family S51"
"PF03576","Peptidase family S58"
"PF03577","Peptidase family C69"
"PF03583","Secretory lipase"
"PF03586","Herpesvirus UL36 tegument protein"
"PF03587","EMG1/NEP1 methyltransferase"
"PF03588","Leucyl/phenylalanyl-tRNA protein transferase"
"PF03589","Antitermination protein"
"PF03590","Aspartate-ammonia ligase"
"PF03591","AzlC protein"
"PF03592","Terminase_2"
"PF03593","HMMPfam"
"PF03594","BenE"
"PF03595","Voltage-dependent anion channel"
"PF03596","Cad"
"PF03600","CitMHS"
"PF03601","Conserved hypothetical protein 698"
"PF03602","Cons_hypoth95"
"PF03604","DNA_RNApol_7kD"
"PF03606","C4-dicarboxylate anaerobic carrier"
"PF03607","DCX"
"PF03608","PTS system enzyme II sorbitol-specific factor"
"PF03609","EII-Sor"
"PF03610","EIIA-man"
"PF03612","Sorbitol phosphotransferase enzyme II N-terminus"
"PF03614","Flag1_repress"
"PF03615","GCM motif protein"
"PF03616","Glt_symporter"
"PF03618","DUF299"
"PF03619","Organic solute transporter Ostalpha"
"PF03625","Domain of unknown function DUF302"
"PF03626","COX4_pro"
"PF03629","Domain of unknown function (DUF303)"
"PF03630","Fumble"
"PF03631","Virulence factor BrkB"
"PF03632","Glycosyl hydrolase family 65 central catalytic domain"
"PF03633","Glycosyl hydrolase family 65, C-terminal domain"
"PF03635","Vacuolar protein sorting-associated protein 35"
"PF03636","Glycosyl hydrolase family 65, N-terminal domain"
"PF03637","Mob1/phocein family"
"PF03639","Glycosyl hydrolase family 81"
"PF03641","Possible lysine decarboxylase"
"PF03642","MAP"
"PF03643","Vacuolar protein sorting-associated protein 26"
"PF03644","Glycosyl hydrolase family 85"
"PF03645","Tctex-1 family"
"PF03646","FlaG"
"PF03647","Transmembrane proteins 14C"
"PF03648","Glycosyl hydrolase family 67 N-terminus"
"PF03649","Conserved hypothetical protein CHP00245"
"PF03650","Uncharacterised protein family (UPF0041)"
"PF03651","Psf1"
"PF03652","Uncharacterised protein family (UPF0081)"
"PF03653","Uncharacterised protein family (UPF0093)"
"PF03654","HMMPfam"
"PF03656","Pam16"
"PF03657","Uncharacterised protein family (UPF0113)"
"PF03659","Glycosyl hydrolase family 71"
"PF03660","PHF5-like protein"
"PF03661","Uncharacterised protein family (UPF0121)"
"PF03663","Glycosyl hydrolase family 76"
"PF03664","Glycosyl hydrolase family 62"
"PF03665","Protein of unknown function UPF0172"
"PF03666","Nitrogen Permease regulator of amino acid transport activity 3"
"PF03668","P-loop ATPase protein family"
"PF03669","Uncharacterised protein family (UPF0139)"
"PF03670","UPF0184"
