"X","taxon","kingdom","phylum","class","order","family","genus"
1508,"Debaryomyces subglobosus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Debaryomyces"
412,"Encephalitozoon cuniculi",NA,NA,NA,NA,NA,NA
675,"Encephalitozoon hellem",NA,NA,NA,NA,NA,NA
753,"Encephalitozoon intestinalis",NA,NA,NA,NA,NA,NA
1270,"Encephalitozoon romaleae",NA,NA,NA,NA,NA,NA
175,"Enterocytozoon bieneusi",NA,NA,NA,NA,NA,NA
43,"Exophiala alcalophila","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
102,"Exophiala aquamarina","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
1468,"Exophiala spinifera","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
1686,"Exophiala xenobiotica","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala"
505,"Fonsecaea erecta","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
935,"Fonsecaea monophora","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
949,"Fonsecaea multimorphosa","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
1010,"Fonsecaea nubica","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
1096,"Fonsecaea pedrosoi","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Fonsecaea"
1611,"Hanseniaspora uvarum","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycodaceae","Hanseniaspora"
1678,"Hortaea werneckii","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","Hortaea"
268,"Kuraishia capsulata","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Kuraishia"
533,"Lachancea fermentati","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Lachancea"
705,"Lichtheimia hyalospora","Fungi","Zygomycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Lichtheimia"
1239,"Lichtheimia ramosa","Fungi","Zygomycota","Mucoromycetes","Mucorales","Lichtheimiaceae","Lichtheimia"
492,"Lodderomyces elongisporus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Lodderomyces"
1165,"Lomentospora prolificans","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Scedosporium"
959,"Madurella mycetomatis","Fungi","Ascomycota","Sordariomycetes","Sordariales",NA,"Madurella"
624,"Malassezia globosa","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia"
1059,"Malassezia pachydermatis","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia"
1528,"Malassezia sympodialis","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia"
1254,"Metschnikowia reukaufii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia"
657,"Meyerozyma guilliermondii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma"
260,"Microsporum canis","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Microsporum"
438,"Nakaseomyces delphensis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Nakaseomyces"
1622,"Paecilomyces variotii","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Paecilomyces"
213,"Paracoccidioides brasiliensis","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Paracoccidioides"
845,"Paracoccidioides lutzii","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Ajellomycetaceae","Paracoccidioides"
210,"Penicillium brasilianum","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
369,"Penicillium coprophilum","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
431,"Penicillium decumbens","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium"
780,"Pichia kudriavzevii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Issatchenkia"
701,"Piedraia hortae","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Piedraiaceae","Piedraia"
274,"Pneumocystis carinii","Fungi","Ascomycota","Pneumocystomycetes","Pneumocystales","Pneumocystaceae","Pneumocystis"
766,"Pneumocystis jirovecii","Fungi","Ascomycota","Pneumocystomycetes","Pneumocystales","Pneumocystaceae","Pneumocystis"
702,"Pseudozyma hubeiensis","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pseudozyma"
435,"Rhizopus delemar","Fungi","Zygomycota","Mucoromycetes","Mucorales","Rhizopodaceae","Rhizopus"
944,"Rhodotorula mucilaginosa","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula"
1624,"Saksenaea vasiformis","Fungi","Zygomycota","Mucoromycetes","Mucorales","Saksenaeaceae","Saksenaea"
95,"Scedosporium apiospermum","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Pseudallescheria"
1230,"Schizophyllum radiatum","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Schizophyllaceae","Schizophyllum"
783,"Sporopachydermia lactativora","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Sporopachydermia"
214,"Sporothrix brasiliensis","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Sporothrix"
878,"Talaromyces marneffei","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Talaromyces"
434,"Torulaspora delbrueckii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Debaryomyces"
126,"Trichoderma asperelloides","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma"
750,"Trichophyton interdigitale","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
897,"Trichophyton mentagrophytes","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
1290,"Trichophyton rubrum","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
1571,"Trichophyton tonsurans","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
1633,"Trichophyton verrucosum","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
1649,"Trichophyton violaceum","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Arthrodermataceae","Trichophyton"
125,"Trichosporon asahii","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon"
84,"Wickerhamomyces anomalus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Wickerhamomycetaceae","Wickerhamomyces"
676,"Zygoascus hellenicus","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Trichomonascaceae","Zygoascus"
826,"Antonospora locustae",NA,NA,NA,NA,NA,NA
899,"Basidiobolus meristosporus","Fungi","Zygomycota",NA,"Basidiobolales","Basidiobolaceae","Basidiobolus"
1560,"Conidiobolus thromboides","Fungi","Entomophthoromycota","Entomophthoromycetes","Entomophthorales","Ancylistaceae","Conidiobolus"
917,"Cordyceps militaris","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Cordyceps"
22,"Edhazardia aedis",NA,NA,NA,NA,NA,NA
10,"Metarhizium acridum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium"
79,"Metarhizium anisopliae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium"
174,"Metschnikowia bicuspidata","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Metschnikowiaceae","Metschnikowia"
425,"Mitosporidium daphniae",NA,NA,NA,NA,NA,NA
468,"Myriangium duriaei","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Myriangiaceae","Myriangium"
97,"Nosema apis",NA,NA,NA,NA,NA,NA
194,"Nosema bombycis",NA,NA,NA,NA,NA,NA
290,"Nosema ceranae",NA,NA,NA,NA,NA,NA
146,"Ophiocordyceps australis","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Ophiocordyceps"
254,"Ophiocordyceps camponoti-rufipedis","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Ophiocordyceps"
778,"Ophiocordyceps kimflemingae",NA,NA,NA,NA,NA,NA
1347,"Ophiocordyceps sinensis","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Ophiocordyceps"
1602,"Sporodiniella umbellata","Fungi","Zygomycota","Mucoromycetes","Mucorales","Mucoraceae","Sporodiniella"
737,"Tolypocladium inflatum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Tolypocladium"
677,"Torrubiella hemipterigena","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Torrubiella"
408,"Vavraia culicis",NA,NA,NA,NA,NA,NA
1541,"Candida tenuis","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Yamadazyma"
633,"Leucoagaricus gongylophorus","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Leucoagaricus"
945,"Obelidium mucronatum","Fungi","Chytridiomycota","Chytridiomycetes","Chytridiales","Chytriomycetaceae","Obelidium"
779,"Symbiotaphrina kochii","Fungi","Ascomycota","Xylonomycetes","Xylonales","Xylonaceae","Symbiotaphrina"
1526,"Aspergillus sydowii","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
680,"Enterocytozoon hepatopenaei",NA,NA,NA,NA,NA,NA
256,"Enterospora canceri",NA,NA,NA,NA,NA,NA
508,"Hepatospora eriocheir",NA,NA,NA,NA,NA,NA
1494,"Acarospora strigata","Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","Acarospora"
648,"Cladonia grayi","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Cladoniaceae","Cladonia"
154,"Dibaeis baeomyces","Fungi","Ascomycota","Lecanoromycetes","Pertusariales","Icmadophilaceae","Dibaeis"
1064,"Endocarpon pallidulum","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Endocarpon"
1209,"Endocarpon pusillum","Fungi","Ascomycota","Eurotiomycetes","Verrucariales","Verrucariaceae","Endocarpon"
1214,"Geosiphon pyriformis","Fungi","Glomeromycota","Glomeromycetes","Archaeosporales","Geosiphonaceae","Geosiphon"
1318,"Graphis scripta","Fungi","Ascomycota","Lecanoromycetes","Ostropales","Graphidaceae","Graphis"
1196,"Lobaria pulmonaria","Fungi","Ascomycota","Lecanoromycetes","Peltigerales","Lobariaceae","Lobaria"
1303,"Sclerophora sanguinea","Fungi","Ascomycota","Coniocybomycetes","Coniocybales","Coniocybaceae","Sclerophora"
561,"Usnea florida","Fungi","Ascomycota","Lecanoromycetes","Lecanorales","Parmeliaceae","Usnea"
1652,"Viridothelium virens","Fungi","Ascomycota","Dothideomycetes","Trypetheliales","Trypetheliaceae","Viridothelium"
1083,"Xanthoria parietina","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae","Xanthoria"
176,"Abortiporus biennis","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Abortiporus"
1095,"Agrocybe pediades","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Agrocybe"
109,"Alternaria arborescens","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
215,"Alternaria brassicicola","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
266,"Alternaria capsici","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
278,"Alternaria carthami","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
330,"Alternaria citriarbusti","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
385,"Alternaria crassa","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
427,"Alternaria dauci","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
601,"Alternaria gaisen","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
817,"Alternaria limoniasperae","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
855,"Alternaria macrospora","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
866,"Alternaria mali","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
1155,"Alternaria porri","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
1274,"Alternaria rosae","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
1351,"Alternaria solani","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
1534,"Alternaria tangelonis","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
1568,"Alternaria tomatophila","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria"
303,"Amylostereum chailletii","Fungi","Basidiomycota","Agaricomycetes","Russulales","Amylostereaceae","Amylostereum"
1500,"Annulohypoxylon stygium","Fungi","Ascomycota","Sordariomycetes","Xylariales","Hypoxylaceae","Annulohypoxylon"
1333,"Antrodia serialis","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Fomitopsidaceae","Neoantrodia"
588,"Armillaria fumosa","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
1003,"Armillaria novae-zelandiae","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Armillaria"
1529,"Armillaria tabescens","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Physalacriaceae","Desarmillaria"
1224,"Ascochyta rabiei","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella"
13,"Aspergillus aculeatus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
107,"Aspergillus arachidicola","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
554,"Aspergillus flavipes","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
623,"Aspergillus glaucus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
920,"Aspergillus minisclerotigenes","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1048,"Aspergillus oryzae","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1082,"Aspergillus parasiticus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1253,"Aspergillus restrictus","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
1125,"Atropellis piniphila","Fungi","Ascomycota","Leotiomycetes","Helotiales","Godroniaceae","Atropellis"
871,"Biscogniauxia marginata","Fungi","Ascomycota","Sordariomycetes","Xylariales","Graphostromataceae","Biscogniauxia"
884,"Biscogniauxia mediterranea","Fungi","Ascomycota","Sordariomycetes","Xylariales","Graphostromataceae","Biscogniauxia"
21,"Bjerkandera adusta","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Bjerkandera"
640,"Blumeria graminis","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Blumeria"
464,"Botryosphaeria dothidea","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria"
321,"Botrytis cinerea","Fungi","Ascomycota","Leotiomycetes","Helotiales","Sclerotiniaceae","Botrytis"
524,"Bretziella fagacearum","Fungi","Ascomycota","Sordariomycetes","Microascales","Ceratocystidaceae","Ceratocystis"
327,"Byssothecium circinans","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Byssothecium"
1041,"Caliciopsis orientalis","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae","Caliciopsis"
1189,"Calosphaeria pulchella","Fungi","Ascomycota","Sordariomycetes","Calosphaeriales","Calosphaeriaceae","Calosphaeria"
165,"Cercospora berteroae","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Cercospora"
1689,"Cercospora zeae-maydis","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Cercospora"
1608,"Cerrena unicolor","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Cerrena"
405,"Choanephora cucurbitarum","Fungi","Zygomycota","Mucoromycetes","Mucorales","Choanephoraceae","Choanephora"
584,"Cladosporium fulvum","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Fulvia"
1207,"Claviceps purpurea","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps"
272,"Cochliobolus carbonum","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris"
683,"Cochliobolus heterostrophus","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris"
930,"Cochliobolus miyabeanus","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris"
1307,"Cochliobolus sativus","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris"
1645,"Cochliobolus victoriae","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Bipolaris"
5,"Colletotrichum abscissum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
285,"Colletotrichum caudatum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
292,"Colletotrichum cereale","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
310,"Colletotrichum chlorophyti","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
382,"Colletotrichum costaricense","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
418,"Colletotrichum cuscutae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
506,"Colletotrichum eremochloae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
526,"Colletotrichum falcatum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
632,"Colletotrichum godetiae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
638,"Colletotrichum graminicola","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
687,"Colletotrichum higginsianum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
727,"Colletotrichum incanum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
838,"Colletotrichum lupini","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
893,"Colletotrichum melonis","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
967,"Colletotrichum navitas","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1016,"Colletotrichum nymphaeae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1040,"Colletotrichum orchidophilum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1075,"Colletotrichum paranaense","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1344,"Colletotrichum simmondsii","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1356,"Colletotrichum somersetensis",NA,NA,NA,NA,NA,NA
1513,"Colletotrichum sublineola","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1533,"Colletotrichum tamarilloi","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1567,"Colletotrichum tofieldiae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1692,"Colletotrichum zoysiae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum"
1357,"Cristinia sonorae","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Stephanosporaceae","Cristinia"
1220,"Cronartium quercuum","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Cronartiaceae","Cronartium"
1080,"Cryphonectria parasitica","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Cryphonectriaceae","Cryphonectria"
1151,"Cryptodiaporthe populea","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Gnomoniaceae","Cryptodiaporthe"
163,"Cucurbitaria berberidis","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Cucurbitaria"
1029,"Cylindrocarpon olidum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Thelonectria"
317,"Cytospora chrysosperma","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Cytospora"
1498,"Delphinella strobiligena","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Delphinella"
965,"Dendryphion nanum","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Dendryphion"
67,"Diaporthe ampelina","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe"
1690,"Didymella zeae-maydis","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Didymella"
1334,"Diplodia seriata","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia"
1329,"Dothistroma septosporum","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Dothistroma"
68,"Elsinoe ampelina","Fungi","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe"
432,"Elytroderma deformans","Fungi","Ascomycota","Leotiomycetes","Rhytismatales","Rhytismataceae","Elytroderma"
868,"Entoleuca mammata","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Entoleuca"
421,"Eremothecium cymbalariae","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Eremotheciaceae","Eremothecium"
634,"Eremothecium gossypii","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Eremotheciaceae","Eremothecium"
968,"Erysiphe necator","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe"
1129,"Erysiphe pisi","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe"
1192,"Erysiphe pulchra","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Erysiphe"
1289,"Eurotium rubrum","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
800,"Eutypa lata","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Eutypa"
861,"Exobasidium maculosum","Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiales","Exobasidiaceae","Exobasidium"
1612,"Exobasidium vaccinii","Fungi","Basidiomycota","Exobasidiomycetes","Exobasidiales","Exobasidiaceae","Exobasidium"
679,"Fistulina hepatica","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Fistulinaceae","Fistulina"
568,"Fomes fomentarius","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes"
354,"Fusarium commune","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
410,"Fusarium culmorum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
579,"Fusarium fujikuroi","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
637,"Fusarium graminearum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
869,"Fusarium mangiferae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
1136,"Fusarium poae","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
1175,"Fusarium pseudograminearum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
1581,"Fusarium tricinctum","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium"
641,"Gaeumannomyces graminis","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Gaeumannomyces"
1105,"Gilbertella persicaria","Fungi","Zygomycota","Mucoromycetes","Mucorales","Choanephoraceae","Gilbertella"
320,"Golovinomyces cichoracearum","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Golovinomyces"
1046,"Golovinomyces orontii","Fungi","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Golovinomyces"
1,"Gremmeniella abietina","Fungi","Ascomycota","Leotiomycetes","Helotiales","Godroniaceae","Gremmeniella"
343,"Grosmannia clavigera","Fungi","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Grosmannia"
370,"Hericium coralloides","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Hericium"
80,"Heterobasidion annosum","Fungi","Basidiomycota","Agaricomycetes","Russulales","Bondarzewiaceae","Heterobasidion"
707,"Heterodoassansia hygrophilae","Fungi","Basidiomycota","Exobasidiomycetes","Doassansiales","Doassansiaceae","Heterodoassansia"
1265,"Ilyonectria robusta","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Ilyonectria"
171,"Laxitextum bicolor","Fungi","Basidiomycota","Agaricomycetes","Russulales","Hericiaceae","Laxitextum"
859,"Leptosphaeria maculans","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria"
1050,"Magnaporthe oryzae","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Pyriculariaceae","Pyricularia"
1137,"Magnaporthiopsis poae","Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Magnaporthiopsis"
233,"Marssonina brunnea","Fungi","Ascomycota","Leotiomycetes","Helotiales","Drepanopezizaceae","Drepanopeziza"
51,"Melampsora allii-populina","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora"
60,"Melampsora americana","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora"
799,"Melampsora larici-populina","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora"
820,"Melampsora lini","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora"
886,"Melampsora medusae","Fungi","Basidiomycota","Pucciniomycetes","Pucciniales","Melampsoraceae","Melampsora"
1685,"Melampsora x",NA,NA,NA,NA,NA,NA
